
=== Détection réalisée sur EMR Serverless, données lues depuis MSK Serverless (IAM) ===
+-------------+------------------+------------------+-----------------------+------------------------+----------------------+-------------------+
|unit_id      |vibration_std     |temperature_rise  |current_imbalance_ratio|predicted_bearing_defect|predicted_phase_defect|predicted_defective|
|unit_dbc73aea|0.5856525398183736|14.853431469737775|0.9952340149664392     |false                   |false                 |false              |
|unit_e03d5e9f|0.5850401303568952|14.612353634364048|0.9764382967445071     |false                   |false                 |false              |
|unit_e1bc7a80|0.5811622171863685|14.352968397336081|0.9949128067631442     |false                   |false                 |false              |
|unit_e68c11e2|0.5877998500506652|14.894366961173745|0.9852122443203251     |false                   |false                 |false              |
|unit_e72deca4|0.5811936926426986|14.092884947144093|0.9823086572573406     |false                   |false                 |false              |
|unit_f7f7762a|2.8907001326252746|34.7200925034621  |0.9797806998150717     |true                    |false                 |true               |
|unit_feff5f52|0.5845597971602192|14.781986604822368|0.9921979774578603     |false                   |false                 |false              |
+-------------+------------------+------------------+-----------------------+------------------------+----------------------+-------------------+

Total unités détectées : 55
Unités défectueuses : 12
